"plot","year","hfi.native","hfi.exotic","hfi.woody","hfi.herbaceous","x","y","terrace","dem.altitude","fenced","oversown"
"A1",2007,208,2,133,77,1579991.89473907,5327135.21971151,"Terrace",1133,"unfenced","natural"
"A1",2016,245,3,171,77,1579991.89473907,5327135.21971151,"Terrace",1133,"unfenced","natural"
"A2",2007,280,7,90,197,1580078.88982442,5327322.14439622,"Slope",1171,"unfenced","natural"
"A2",2016,342,1,136,207,1580078.88982442,5327322.14439622,"Slope",1171,"unfenced","natural"
"A3",2007,316,1,130,186,1580169.88221943,5327499.07195677,"Slope",1204,"unfenced","natural"
"A3",2016,274,7,104,177,1580169.88221943,5327499.07195677,"Slope",1204,"unfenced","natural"
"A4",2007,315,1,76,239,1580244.88046944,5327679.00060709,"Terrace",1211,"unfenced","natural"
"A4",2016,404,4,78,330,1580244.88046944,5327679.00060709,"Terrace",1211,"unfenced","natural"
"AR-1-Fe",2008,82,74,3,153,1589261.4433986,5317373.33287392,"Terrace",1171,"fenced","natural"
"AR-1-Fe",2016,186,115,2,299,1589261.4433986,5317373.33287392,"Terrace",1171,"fenced","natural"
"AR-1-Un",2008,64,56,3,117,1589268.44021765,5317367.3340098,"Terrace",1173,"unfenced","natural"
"AR-1-Un",2016,93,91,5,179,1589268.44021765,5317367.3340098,"Terrace",1173,"unfenced","natural"
"AR-2-Fe",2008,194,5,17,182,1589351.43474763,5317542.26326071,"Slope",1200,"fenced","natural"
"AR-2-Fe",2016,260,17,37,240,1589351.43474763,5317542.26326071,"Slope",1200,"fenced","natural"
"AR-2-Un",2008,56,8,10,54,1589353.43367032,5317539.26402507,"Slope",1200,"unfenced","natural"
"AR-2-Un",2016,106,9,34,81,1589353.43367032,5317539.26402507,"Slope",1200,"unfenced","natural"
"AR-3-Fe",2008,125,19,9,135,1589039.49787045,5317209.41805961,"Terrace",1266,"fenced","natural"
"AR-3-Fe",2016,143,29,11,161,1589039.49787045,5317209.41805961,"Terrace",1266,"fenced","natural"
"AR-3-Un",2008,119,32,23,128,1589047.4944788,5317204.4187226,"Terrace",1266,"unfenced","natural"
"AR-3-Un",2016,118,40,28,130,1589047.4944788,5317204.4187226,"Terrace",1266,"unfenced","natural"
"B1",2007,240,1,51,189,1587686.4974612,5336458.01474216,"Slope",1429,"unfenced","natural"
"B1",2016,247,5,50,202,1587686.4974612,5336458.01474216,"Slope",1429,"unfenced","natural"
"B2",2007,375,113,331,157,1587609.48599839,5336171.12306958,"Slope",1352,"unfenced","natural"
"B2",2016,360,84,327,117,1587609.48599839,5336171.12306958,"Slope",1352,"unfenced","natural"
"B3",2007,355,48,236,167,1587536.48896893,5336004.18981694,"Terrace",1302,"unfenced","natural"
"B3",2016,416,74,302,188,1587536.48896893,5336004.18981694,"Terrace",1302,"unfenced","natural"
"B4",2007,132,31,1,163,1587483.48153628,5335810.26316501,"Slope",1310,"unfenced","natural"
"B4",2016,137,48,1,185,1587483.48153628,5335810.26316501,"Slope",1310,"unfenced","natural"
"C1",2007,53,19,7,65,1596637.6716786,5338231.23183265,"Slope",1420,"fenced","natural"
"C1",2016,72,29,26,75,1596637.6716786,5338231.23183265,"Slope",1420,"fenced","natural"
"C2",2007,230,39,3,266,1596584.66599968,5338050.30051062,"Slope",1447,"fenced","natural"
"C2",2016,458,62,7,513,1596584.66599968,5338050.30051062,"Slope",1447,"fenced","natural"
"C3",2007,23,1,18,5,1596509.6686063,5337875.37003437,"Slope",1421,"fenced","natural"
"C3",2016,227,22,42,207,1596509.6686063,5337875.37003437,"Slope",1421,"fenced","natural"
"C4",2007,206,29,22,213,1596437.67202434,5337714.43439458,"Slope",1342,"fenced","natural"
"C4",2016,357,37,56,338,1596437.67202434,5337714.43439458,"Slope",1342,"fenced","natural"
"CC-1-Fe",2008,21,107,5,123,1590077.68350949,5328907.28114395,"Terrace",1095,"fenced","natural"
"CC-1-Fe",2016,59,142,37,164,1590077.68350949,5328907.28114395,"Terrace",1095,"fenced","natural"
"CC-1-Un",2008,50,87,7,130,1590091.67846163,5328905.27998021,"Terrace",1094,"unfenced","natural"
"CC-1-Un",2016,86,148,25,209,1590091.67846163,5328905.27998021,"Terrace",1094,"unfenced","natural"
"CC-2-Fe",2008,77,321,16,382,1590050.68534688,5328851.30384241,"Terrace",1090,"fenced","natural"
"CC-2-Fe",2016,59,241,13,287,1590050.68534688,5328851.30384241,"Terrace",1090,"fenced","natural"
"CC-2-Un",2008,101,323,1,424,1590055.67440246,5328781.32710278,"Terrace",1085,"unfenced","natural"
"CC-2-Un",2016,64,356,1,420,1590055.67440246,5328781.32710278,"Terrace",1085,"unfenced","natural"
"CC-3-Fe",2008,32,55,1,87,1589979.69852522,5328767.3419143,"Terrace",1093,"fenced","natural"
"CC-3-Fe",2016,56,118,3,171,1589979.69852522,5328767.3419143,"Terrace",1093,"fenced","natural"
"CC-3-Un",2008,81,116,1,197,1590018.68533052,5328768.33642691,"Terrace",1088,"unfenced","natural"
"CC-3-Un",2016,66,156,1,222,1590018.68533052,5328768.33642691,"Terrace",1088,"unfenced","natural"
"D1",2007,17,241,1,258,1601083.41602945,5340202.97692655,"Terrace",1000,"unfenced","natural"
"D1",2016,47,343,5,385,1601083.41602945,5340202.97692655,"Terrace",1000,"unfenced","natural"
"D2",2007,20,88,1,107,1601161.41374519,5340387.90381066,"Terrace",1016,"unfenced","natural"
"D2",2016,47,124,10,161,1601161.41374519,5340387.90381066,"Terrace",1016,"unfenced","natural"
"D3",2007,146,192,4,334,1601235.41386361,5340580.82850772,"Slope",1037,"unfenced","natural"
"D3",2016,220,360,7,573,1601235.41386361,5340580.82850772,"Slope",1037,"unfenced","natural"
"D4",2007,66,58,20,104,1601310.41219661,5340762.75682193,"Slope",1064,"unfenced","natural"
"D4",2016,153,60,47,166,1601310.41219661,5340762.75682193,"Slope",1064,"unfenced","natural"
"F1",2007,31,29,1,60,1590112.25586422,5325757.3533346,"Slope",1346,"unfenced","natural"
"F1",2016,25,25,1,50,1590112.25586422,5325757.3533346,"Slope",1346,"unfenced","natural"
"F2",2007,31,14,1,45,1590049.25589949,5325594.41735119,"Slope",1384,"unfenced","natural"
"F2",2016,21,12,1,33,1590049.25589949,5325594.41735119,"Slope",1384,"unfenced","natural"
"F3",2007,77,1,43,34,1589995.25061888,5325414.48599094,"Slope",1428,"unfenced","natural"
"F3",2016,165,10,78,97,1589995.25061888,5325414.48599094,"Slope",1428,"unfenced","natural"
"F4",2007,168,4,1,171,1589915.2531713,5325226.56079301,"Slope",1367,"unfenced","natural"
"F4",2016,256,9,19,246,1589915.2531713,5325226.56079301,"Slope",1367,"unfenced","natural"
"G1",2007,45,8,11,42,1593492.10863508,5325820.88531847,"Slope",1464,"unfenced","natural"
"G1",2016,89,19,27,81,1593492.10863508,5325820.88531847,"Slope",1464,"unfenced","natural"
"G2",2007,83,21,1,104,1593436.11180076,5325699.93407866,"Slope",1413,"unfenced","natural"
"G2",2016,170,32,1,202,1593436.11180076,5325699.93407866,"Slope",1413,"unfenced","natural"
"G3",2007,158,84,2,240,1593369.11133383,5325523.00343698,"Slope",1300,"unfenced","natural"
"G3",2016,384,170,2,552,1593369.11133383,5325523.00343698,"Slope",1300,"unfenced","natural"
"G4",2007,56,7,18,45,1593307.11034806,5325355.06905967,"Slope",1220,"unfenced","natural"
"G4",2016,109,20,62,67,1593307.11034806,5325355.06905967,"Slope",1220,"unfenced","natural"
"H1",2007,21,58,6,73,1597788.79282729,5319434.50349354,"Slope",1112,"unfenced","natural"
"H1",2016,49,76,6,119,1597788.79282729,5319434.50349354,"Slope",1112,"unfenced","natural"
"H2",2007,16,125,28,113,1597869.79152907,5319634.4242086,"Slope",1013,"unfenced","natural"
"H2",2016,53,275,119,209,1597869.79152907,5319634.4242086,"Slope",1013,"unfenced","natural"
"H3",2007,67,64,4,127,1597951.79452971,5319869.33279806,"Slope",1001,"unfenced","natural"
"H3",2016,99,71,22,148,1597951.79452971,5319869.33279806,"Slope",1001,"unfenced","natural"
"H4",2007,83,68,27,124,1598018.79367672,5320036.26668638,"Slope",1088,"unfenced","natural"
"H4",2016,106,46,47,105,1598018.79367672,5320036.26668638,"Slope",1088,"unfenced","natural"
"HG-1-Fe",2008,116,42,51,107,1593003.81358526,5337479.96560696,"Terrace",1005,"fenced","natural"
"HG-1-Fe",2016,126,37,48,115,1593003.81358526,5337479.96560696,"Terrace",1005,"fenced","natural"
"HG-1-Un",2008,83,42,19,106,1592955.82945537,5337475.97327671,"Terrace",998,"unfenced","natural"
"HG-1-Un",2016,85,37,25,97,1592955.82945537,5337475.97327671,"Terrace",998,"unfenced","natural"
"HG-2-Fe",2008,156,54,38,172,1592947.8487335,5337601.93128785,"Terrace",1001,"fenced","natural"
"HG-2-Fe",2016,155,54,30,179,1592947.8487335,5337601.93128785,"Terrace",1001,"fenced","natural"
"HG-2-Un",2008,171,77,33,215,1592882.87106771,5337602.93948114,"Terrace",997,"unfenced","natural"
"HG-2-Un",2016,227,74,61,240,1592882.87106771,5337602.93948114,"Terrace",997,"unfenced","natural"
"HG-3-Fe",2008,82,43,32,93,1593123.72820455,5337142.06529399,"Terrace",994,"fenced","natural"
"HG-3-Fe",2016,108,45,44,109,1593123.72820455,5337142.06529399,"Terrace",994,"fenced","natural"
"HG-3-Un",2008,77,37,28,86,1593118.72649673,5337116.07483118,"Terrace",993,"unfenced","natural"
"HG-3-Un",2016,89,45,47,87,1593118.72649673,5337116.07483118,"Terrace",993,"unfenced","natural"
"I1",2007,14,176,43,147,1604812.16790195,5325292.56202347,"Slope",1046,"unfenced","oversown"
"I1",2016,19,169,68,120,1604812.16790195,5325292.56202347,"Slope",1046,"unfenced","oversown"
"I2",2007,19,242,32,229,1604888.16628535,5325474.48967816,"Slope",1022,"unfenced","oversown"
"I2",2016,107,411,76,442,1604888.16628535,5325474.48967816,"Slope",1022,"unfenced","oversown"
"I3",2007,15,46,4,57,1604957.16398707,5325633.42613354,"Slope",1020,"unfenced","oversown"
"I3",2016,27,50,6,71,1604957.16398707,5325633.42613354,"Slope",1020,"unfenced","oversown"
"I4",2007,33,47,31,49,1605026.16396683,5325809.35678904,"Terrace",1028,"unfenced","oversown"
"I4",2016,63,58,51,70,1605026.16396683,5325809.35678904,"Terrace",1028,"unfenced","oversown"
"J1",2007,45,118,20,143,1613509.18335922,5332543.92403987,"Terrace",1250,"unfenced","oversown"
"J1",2016,81,131,36,176,1613509.18335922,5332543.92403987,"Terrace",1250,"unfenced","oversown"
"J2",2007,41,378,9,410,1613585.18206324,5332724.85251089,"Terrace",1204,"unfenced","oversown"
"J2",2016,65,213,16,262,1613585.18206324,5332724.85251089,"Terrace",1204,"unfenced","oversown"
"J3",2007,272,88,65,295,1613652.18381469,5332905.78221038,"Slope",1204,"unfenced","oversown"
"J3",2016,217,60,66,211,1613652.18381469,5332905.78221038,"Slope",1204,"unfenced","oversown"
"J4",2007,498,100,289,309,1613718.1840161,5333072.7167953,"Terrace",1188,"unfenced","oversown"
"J4",2016,581,122,412,291,1613718.1840161,5333072.7167953,"Terrace",1188,"unfenced","oversown"
"K1",2007,106,53,18,141,1614731.35036615,5329455.80514152,"Slope",1246,"unfenced","oversown"
"K1",2016,86,24,33,77,1614731.35036615,5329455.80514152,"Slope",1246,"unfenced","oversown"
"K2",2007,14,77,1,90,1614801.3498767,5329626.73761673,"Slope",1221,"unfenced","oversown"
"K2",2016,46,72,3,115,1614801.3498767,5329626.73761673,"Slope",1221,"unfenced","oversown"
"K3",2007,17,88,1,105,1614881.34395961,5329782.67383135,"Slope",1191,"unfenced","oversown"
"K3",2016,41,86,2,125,1614881.34395961,5329782.67383135,"Slope",1191,"unfenced","oversown"
"K4",2007,38,471,4,505,1614965.33791479,5329947.60646143,"Slope",1124,"unfenced","oversown"
"K4",2016,24,142,1,166,1614965.33791479,5329947.60646143,"Slope",1124,"unfenced","oversown"
"L1",2007,59,244,1,303,1615698.28322432,5331371.0244546,"Terrace",1128,"unfenced","oversown"
"L1",2016,33,207,1,240,1615698.28322432,5331371.0244546,"Terrace",1128,"unfenced","oversown"
"L2",2007,39,480,17,502,1615777.27891799,5331535.95788393,"Slope",1100,"unfenced","oversown"
"L2",2016,36,322,13,345,1615777.27891799,5331535.95788393,"Slope",1100,"unfenced","oversown"
"L3",2007,6,160,1,166,1615849.2775269,5331704.89092413,"Slope",1125,"unfenced","oversown"
"L3",2016,3,172,2,173,1615849.2775269,5331704.89092413,"Slope",1125,"unfenced","oversown"
"L4",2007,5,542,14,533,1615914.28000034,5331884.82120834,"Slope",1125,"unfenced","oversown"
"L4",2016,10,216,1,226,1615914.28000034,5331884.82120834,"Slope",1125,"unfenced","oversown"
"LD-1-Fe",2008,123,52,47,128,1586584.19940961,5308448.73659889,"Terrace",941,"fenced","natural"
"LD-1-Fe",2016,123,52,54,121,1586584.19940961,5308448.73659889,"Terrace",941,"fenced","natural"
"LD-1-Un",2008,56,49,27,78,1586534.21009474,5308398.76015252,"Terrace",947,"unfenced","natural"
"LD-1-Un",2016,81,46,47,80,1586534.21009474,5308398.76015252,"Terrace",947,"unfenced","natural"
"LD-2-Fe",2008,185,84,63,206,1586662.15610237,5308319.77073353,"Terrace",929,"fenced","natural"
"LD-2-Fe",2016,274,74,129,219,1586662.15610237,5308319.77073353,"Terrace",929,"fenced","natural"
"LD-2-Un",2008,112,46,54,104,1586611.16841977,5308279.79099199,"Terrace",933,"unfenced","natural"
"LD-2-Un",2016,164,77,64,177,1586611.16841977,5308279.79099199,"Terrace",933,"unfenced","natural"
"LD-3-Fe",2008,133,68,42,159,1586887.06605258,5308218.77637469,"Terrace",897,"fenced","natural"
"LD-3-Fe",2016,183,153,40,296,1586887.06605258,5308218.77637469,"Terrace",897,"fenced","natural"
"LD-3-Un",2008,334,160,10,484,1586889.05430401,5308132.80557399,"Terrace",896,"unfenced","natural"
"LD-3-Un",2016,437,259,5,691,1586889.05430401,5308132.80557399,"Terrace",896,"unfenced","natural"
"LD-4-Fe",2008,315,144,1,458,1586914.06220885,5308260.7585151,"Terrace",896,"fenced","natural"
"LD-4-Fe",2016,591,389,2,978,1586914.06220885,5308260.7585151,"Terrace",896,"fenced","natural"
"LD-4-Un",2008,300,103,45,358,1586996.03026161,5308230.75823965,"Terrace",897,"unfenced","natural"
"LD-4-Un",2016,480,173,124,529,1586996.03026161,5308230.75823965,"Terrace",897,"unfenced","natural"
"LD-5-Fe",2008,149,57,78,128,1587016.04799368,5308421.69024127,"Terrace",930,"fenced","natural"
"LD-5-Fe",2016,125,76,42,159,1587016.04799368,5308421.69024127,"Terrace",930,"fenced","natural"
"LD-5-Un",2008,148,53,70,131,1587063.03163743,5308419.68487569,"Terrace",932,"unfenced","natural"
"LD-5-Un",2016,178,56,106,128,1587063.03163743,5308419.68487569,"Terrace",932,"unfenced","natural"
"LD-6-Fe",2008,188,44,51,181,1587070.05653926,5308631.61135804,"Terrace",967,"fenced","natural"
"LD-6-Fe",2016,200,49,77,172,1587070.05653926,5308631.61135804,"Terrace",967,"fenced","natural"
"LD-6-Un",2008,233,36,90,179,1587096.04776263,5308632.6076666,"Terrace",966,"unfenced","natural"
"LD-6-Un",2016,282,61,146,197,1587096.04776263,5308632.6076666,"Terrace",966,"unfenced","natural"
"M1",2007,52,84,9,127,1621980.77823713,5328609.0952664,"Terrace",1108,"unfenced","natural"
"M1",2016,102,88,14,176,1621980.77823713,5328609.0952664,"Terrace",1108,"unfenced","natural"
"M2",2007,163,43,91,115,1622058.77882372,5328803.01886315,"Slope",1067,"unfenced","natural"
"M2",2016,333,61,158,236,1622058.77882372,5328803.01886315,"Slope",1067,"unfenced","natural"
"M3",2007,64,78,9,133,1622148.76966706,5328955.95466503,"Terrace",1085,"unfenced","natural"
"M3",2016,139,71,40,170,1622148.76966706,5328955.95466503,"Terrace",1085,"unfenced","natural"
"M4",2007,78,47,56,69,1622221.77751048,5329189.8654842,"Terrace",1028,"unfenced","natural"
"M4",2016,160,43,89,114,1622221.77751048,5329189.8654842,"Terrace",1028,"unfenced","natural"
"Molesworth1",1989,252,65,4,313,1595394.77865205,5335819.21830583,"Terrace",1038,"fenced","natural"
"Molesworth1",1995,423,134,6,551,1595394.77865205,5335819.21830583,"Terrace",1038,"fenced","natural"
"Molesworth1",2001,273,261,8,526,1595394.77865205,5335819.21830583,"Terrace",1038,"fenced","natural"
"Molesworth1",2006,140,153,8,285,1595394.77865205,5335819.21830583,"Terrace",1038,"fenced","natural"
"Molesworth1",2016,183,159,21,321,1595394.77865205,5335819.21830583,"Terrace",1038,"fenced","natural"
"Molesworth10",1989,130,212,1,342,1581315.76242975,5329547.22072876,"Terrace",1157,"fenced","natural"
"Molesworth10",1995,145,205,1,350,1581315.76242975,5329547.22072876,"Terrace",1157,"fenced","natural"
"Molesworth10",2001,172,375,1,547,1581315.76242975,5329547.22072876,"Terrace",1157,"fenced","natural"
"Molesworth10",2006,146,516,1,662,1581315.76242975,5329547.22072876,"Terrace",1157,"fenced","natural"
"Molesworth10",2016,81,283,1,364,1581315.76242975,5329547.22072876,"Terrace",1157,"fenced","natural"
"Molesworth11",1989,271,132,1,403,1581957.50306099,5329244.23920124,"Terrace",1143,"unfenced","natural"
"Molesworth11",1995,387,121,1,508,1581957.50306099,5329244.23920124,"Terrace",1143,"unfenced","natural"
"Molesworth11",2001,311,183,3,491,1581957.50306099,5329244.23920124,"Terrace",1143,"unfenced","natural"
"Molesworth11",2006,370,160,6,524,1581957.50306099,5329244.23920124,"Terrace",1143,"unfenced","natural"
"Molesworth11",2016,109,129,1,238,1581957.50306099,5329244.23920124,"Terrace",1143,"unfenced","natural"
"Molesworth12",1989,222,175,1,397,1593565.23582042,5334546.89373447,"Terrace",1011,"unfenced","natural"
"Molesworth12",1995,423,268,1,691,1593565.23582042,5334546.89373447,"Terrace",1011,"unfenced","natural"
"Molesworth12",2001,235,259,1,494,1593565.23582042,5334546.89373447,"Terrace",1011,"unfenced","natural"
"Molesworth12",2006,172,567,1,739,1593565.23582042,5334546.89373447,"Terrace",1011,"unfenced","natural"
"Molesworth12",2016,122,413,1,535,1593565.23582042,5334546.89373447,"Terrace",1011,"unfenced","natural"
"Molesworth13",1989,225,110,1,335,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth13",1995,444,148,1,592,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth13",2001,344,264,1,608,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth13",2006,270,673,1,943,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth13",2016,69,337,1,406,1593609.23883335,5334683.84115718,"Terrace",1011,"fenced","natural"
"Molesworth14",1989,183,12,64,131,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth14",1995,209,20,78,151,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth14",2001,179,27,81,125,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth14",2006,211,40,85,166,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth14",2016,102,15,41,76,1593541.57993333,5337100.02472735,"Terrace",1022,"fenced","natural"
"Molesworth15",1995,288,25,7,306,1591167.23709615,5335927.73768076,"Terrace",1077,"fenced","natural"
"Molesworth15",2001,129,163,7,285,1591167.23709615,5335927.73768076,"Terrace",1077,"fenced","natural"
"Molesworth15",2006,57,190,12,235,1591167.23709615,5335927.73768076,"Terrace",1077,"fenced","natural"
"Molesworth15",2016,142,26,3,165,1591167.23709615,5335927.73768076,"Terrace",1077,"fenced","natural"
"Molesworth2",1989,164,35,79,120,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth2",1995,162,41,62,141,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth2",2001,150,49,80,119,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth2",2006,96,48,51,93,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth2",2016,81,22,41,62,1593983.42349176,5337057.98100466,"Terrace",1024,"fenced","natural"
"Molesworth3",1989,147,74,1,221,1593217.43127772,5335128.74078729,"Terrace",1011,"fenced","natural"
